ID,NOME,IMAGEM_USUÁRIO,CPF,EMAIL,CONTATO,LATTES,MATRÍCULA,TAMANHO CAMISETA,DATA NASCIMENTO,EQUIPE DE PROJETO,ORIENTADOR,SÉRIE,ANO,NÍVEL ESCOLARIDADE,CURSO,STATUS CURSO,ÁREAS DE INTERESSE,TIPO MEMBRO,NÍVEL GP,STATUS
ef92e984-f48c-4181-8024-dad188640c3e,Carlos Souza,https://i.pravatar.cc/150?img=67,138.926.291-42,carlos.souza@ifro.edu.br,(69) 98700-5943,http://lattes.cnpq.br/carlo607,20211002305,G,2004-04-26,Visão Computacional,Prof. Carlos Lima,1º Ano,2025,Ensino Médio,Eletrotécnica,Cursando,"Python, Flutter",Discente,Intermediário,Inativo
0a3d6b06-eac8-4f0b-822a-d5deb2d88b22,Fernanda Costa,https://i.pravatar.cc/150?img=26,656.194.666-18,fernanda.costa@ifro.edu.br,(69) 99427-8643,http://lattes.cnpq.br/ferna850,20211002229,G,2005-03-06,Robótica,Prof. Carlos Lima,3º Ano,2025,Ensino Médio,Eletrotécnica,Cursando,"Python, Flutter",Discente,Avançado,Ativo
8e8a6734-ce04-4a69-b3e5-3a03bf18b5bd,Juliana Rodrigues,https://i.pravatar.cc/150?img=20,151.442.659-27,juliana.rodrigues@ifro.edu.br,(69) 98448-5755,http://lattes.cnpq.br/julia616,20211002624,GG,2006-08-14,Visão Computacional,Profa. Ana Júlia,2º Ano,2025,Ensino Médio,Mecatrônica,Cursando,"IA, Robótica, WebDev",Técnico,Iniciante,Inativo
fc684931-b11f-49bf-8d7a-4101443b1d5c,Fernanda Costa,https://i.pravatar.cc/150?img=46,959.593.425-65,fernanda.costa@ifro.edu.br,(69) 99640-5209,http://lattes.cnpq.br/ferna591,20211002557,M,2004-04-26,IA Aplicada,Profa. Ana Júlia,1º Ano,2025,Ensino Médio,Mecatrônica,Cursando,"IA, Robótica, WebDev",Docente,Iniciante,Inativo
9ad08627-7671-471c-868e-22ad46a28fd6,Carlos Souza,https://i.pravatar.cc/150?img=48,932.302.463-55,carlos.souza@ifro.edu.br,(69) 98780-4891,http://lattes.cnpq.br/carlo560,20211002820,GG,2005-11-11,Robótica,Profa. Ana Júlia,3º Ano,2025,Ensino Médio,Mecatrônica,Cursando,"Automação, Redes",Discente,Intermediário,Ativo
c8cdb78a-137a-481c-bb1c-19a7f70738b1,Igor Almeida,https://i.pravatar.cc/150?img=43,552.257.691-31,igor.almeida@ifro.edu.br,(69) 99587-2145,http://lattes.cnpq.br/igor.865,20211002629,G,2006-05-20,Robótica,Prof. Roberto Nunes,2º Ano,2025,Ensino Médio,Mecatrônica,Cursando,"Python, Flutter",Docente,Iniciante,Ativo
bbdc077d-3b00-48ef-9f4f-084b4dbcf37a,Gabriel Ferreira,https://i.pravatar.cc/150?img=49,566.446.414-20,gabriel.ferreira@ifro.edu.br,(69) 99537-7779,http://lattes.cnpq.br/gabri632,20211002529,GG,2004-02-12,IA Aplicada,Profa. Ana Júlia,1º Ano,2025,Ensino Médio,Informática,Cursando,"Automação, Redes",Técnico,Iniciante,Ativo
6c15aa80-1e9e-4f75-84a6-45b0e96d5a1a,Eduardo Silva,https://i.pravatar.cc/150?img=19,181.257.412-45,eduardo.silva@ifro.edu.br,(69) 98083-5543,http://lattes.cnpq.br/eduar109,20211002598,M,2005-09-13,WebDev,Profa. Ana Júlia,2º Ano,2025,Ensino Médio,Mecatrônica,Cursando,"Python, Flutter",Discente,Avançado,Inativo
da7fd489-3e88-4eeb-a3ea-c5d743d8b715,Eduardo Silva,https://i.pravatar.cc/150?img=28,414.989.984-97,eduardo.silva@ifro.edu.br,(69) 99854-2932,http://lattes.cnpq.br/eduar887,20211002125,GG,2006-02-20,WebDev,Prof. Roberto Nunes,1º Ano,2025,Ensino Médio,Mecatrônica,Cursando,"Dados, Arduino",Docente,Iniciante,Inativo
63d4ecdd-47c5-4da1-81c8-4195b7fdc6a2,Ana Paula Mendes,https://i.pravatar.cc/150?img=21,646.180.675-13,ana.paula.mendes@ifro.edu.br,(69) 99543-8961,http://lattes.cnpq.br/ana.p342,20211002181,GG,2004-05-16,Robótica,Prof. Carlos Lima,2º Ano,2025,Ensino Médio,Mecatrônica,Cursando,"Dados, Arduino",Técnico,Avançado,Inativo
